ticket_id,date,channel,category,customer_verbatim,resolved,agent_notes
TKT-4521,2025-10-03,chat,checkout,"I'm trying to buy a tent for my brother's birthday but I can't figure out how to ship it to his address instead of mine. Had to abandon my cart.",true,Walked through address change - UI not intuitive
TKT-4522,2025-10-03,email,returns,"Returning the Osprey pack. Size chart said Large but it's way too big. I'm 5'10 and followed the torso measurement guide exactly. Frustrating.",true,Processed return - sizing feedback logged
TKT-4523,2025-10-04,phone,shipping,"Where's my order? Tracking hasn't updated in 3 days. I need this for a trip next weekend!",true,Carrier delay - expedited replacement
TKT-4524,2025-10-05,chat,product,"Does the MSR Hubba Hubba NX work with my old MSR footprint from 2019? Can't find compatibility info anywhere on the site.",false,Unable to confirm - suggested email MSR directly
TKT-4525,2025-10-05,email,checkout,"Wanted to buy sleeping bags for my whole scout troop (8 bags) but your site kept timing out when I tried to add that many. Had to do 8 separate transactions.",true,Known issue with bulk adds - workaround provided
TKT-4526,2025-10-06,chat,loyalty,"I had 2,400 trail points and now I only have 800? What happened to them? Nobody told me they expire!",true,Explained 12-month expiration policy - customer upset
TKT-4527,2025-10-07,email,product,"Looking for a complete beginner camping setup for 2 people. Budget around $500. Your site has thousands of products but no way to just buy 'what I need to go camping.' Super overwhelming.",true,Built custom recommendation via email
TKT-4528,2025-10-08,phone,returns,"Third time returning boots this year. I keep ordering between sizes and guessing wrong. Do you have any way to help me figure out the right size before I order?",true,Suggested in-store fitting - customer hours away from store
TKT-4529,2025-10-08,chat,checkout,"Trying to send a gift but the invoice shows the price. Can I get a gift receipt or something that hides what I paid? This is for my wife.",false,No gift receipt option currently - apologized
TKT-4530,2025-10-09,email,mobile,"Your app keeps crashing when I try to look at product photos. iPhone 13. Super annoying when I'm in the store comparing prices.",true,Known iOS bug - update pending
TKT-4531,2025-10-10,chat,search,"Searched 'waterproof jacket for pacific northwest rain' and got 400+ results. I just want THE jacket people actually use for PNW hiking. Too many choices.",true,Provided personal recommendation
TKT-4532,2025-10-11,phone,checkout,"The Apple Pay button didn't work. Just spun forever. Had to dig out my credit card which I didn't have handy.",true,Intermittent Apple Pay issue - escalated to eng
TKT-4533,2025-10-11,email,product,"Bought the REI Kingdom tent. Do I need a separate footprint? The product page doesn't say if it comes with one or not.",true,Clarified no footprint included
TKT-4534,2025-10-12,chat,loyalty,"How close am I to the next tier? I can't find anywhere that shows my progress. Just see I'm 'Basecamp' level.",true,Showed how to find tier progress - buried in account settings
TKT-4535,2025-10-13,email,returns,"The Patagonia jacket I got has different colors than the photos. It's more purple than blue. Returning.",true,Processed return - color accuracy feedback
TKT-4536,2025-10-14,chat,checkout,"Checkout took FOREVER on my phone. Like 5 screens? Just let me pay already. Cart had $220 worth of stuff and I gave up.",false,Mobile checkout friction - lost sale
TKT-4537,2025-10-15,phone,product,"I want to get my dad into backpacking but he's 67 with a bad knee. Is there like a 'senior beginner' kit or something? Lightweight and easy on joints?",true,Custom recommendations provided - great feedback
TKT-4538,2025-10-16,email,shipping,"You shipped my items in 3 separate boxes when they could have fit in one. That's wasteful. I thought you were a sustainable company?",true,Logged packaging feedback - warehouse issue
TKT-4539,2025-10-17,chat,search,"Your search doesn't understand 'tent for tall person.' I'm 6'5 and bought a tent that said 'sleeps 2' but I don't fit. Had to return it.",true,Processed return - search refinement feedback
TKT-4540,2025-10-18,phone,loyalty,"I spent $800 last month but my points haven't updated. Been 3 weeks.",true,Integration delay - manually adjusted points
TKT-4541,2025-10-19,email,checkout,"Why can't I save my cart and come back later? It disappeared after a few hours and I lost everything I'd picked out.",true,Explained guest cart expiration - suggested account signup
