respondent_id,survey_date,age,location,customer_tenure,membership_tier,purchase_frequency,avg_order_value,categories_purchased,channel_preference,nps_score,checkout_satisfaction,search_satisfaction,returns_satisfaction,improvement_suggestion,favorite_feature
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,2025-10-03,34,CO,6,Gold,12,287,camping|hiking|apparel,desktop,9,5,4,5,,gear reviews
b2c3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,2025-10-05,28,CA,2,Bronze,5,142,hiking|apparel|footwear,mobile,7,3,4,4,mobile app crashes sometimes,easy returns
c3d4e5f6-a7b8-4c9d-0e1f-2a3b4c5d6e7f,2025-10-07,45,WA,8,Platinum,18,412,camping|climbing|water-sports|apparel,desktop,10,5,5,5,,price matching
d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f8a,2025-10-08,22,OR,1,None,3,89,hiking|apparel,mobile,6,2,3,4,faster checkout on mobile,trail finder
e5f6a7b8-c9d0-4e1f-2a3b-4c5d6e7f8a9b,2025-10-10,52,UT,9,Platinum,15,356,camping|hiking|climbing,app,9,4,5,5,,expert advice chat
f6a7b8c9-d0e1-4f2a-3b4c-5d6e7f8a9b0c,2025-10-11,31,CO,4,Silver,8,198,water-sports|apparel|footwear,desktop,8,4,4,4,more eco-friendly products,gear reviews
a7b8c9d0-e1f2-4a3b-4c5d-6e7f8a9b0c1d,2025-10-12,26,CA,1,Bronze,4,121,hiking|footwear,mobile,5,2,3,3,better size guides,easy returns
b8c9d0e1-f2a3-4b4c-5d6e-7f8a9b0c1d2e,2025-10-14,39,WA,5,Gold,10,245,camping|hiking|apparel,desktop,8,5,4,4,,trail finder
c9d0e1f2-a3b4-4c5d-6e7f-8a9b0c1d2e3f,2025-10-15,67,MT,10,Platinum,14,389,camping|hiking,in-store,10,5,4,5,,in-store pickup
d0e1f2a3-b4c5-4d6e-7f8a-9b0c1d2e3f4a,2025-10-16,24,TX,0,None,2,76,apparel|footwear,mobile,4,2,3,3,wish the app was faster,price alerts
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a5b,2025-10-17,41,CO,7,Gold,11,267,camping|climbing|apparel,app,9,4,5,4,,gear comparison tool
